Directory,File,Total Cycles,Average PTW Latency (Cycles),L1 Miss Rate Normal Data,L1 Miss Rate Meta Data,L2 Miss Rate Normal Data,L2 Miss Rate Meta Data,LLC Miss Rate Normal Data,LLC Miss Rate Meta Data
CPU/4core,bc,1307900880,162.56,0.2581,0.7836,0.9910,0.9651,0.5388,0.4596
CPU/4core,bfs,5380506820,140.85,0.5200,0.7359,0.8926,0.7227,0.5288,0.6234
CPU/4core,cc,4758180180,142.59,0.5423,0.7387,0.8696,0.6844,0.5299,0.6298
CPU/4core,dlrm,5385193840,139.8,0.5202,0.7332,0.8930,0.7262,0.5241,0.6178
CPU/4core,gc,4087748080,142.28,0.5097,0.7288,0.8770,0.7444,0.4550,0.4937
CPU/4core,gen,4062748820,142.67,0.5095,0.7302,0.8761,0.7411,0.4602,0.4982
CPU/4core,pr,4564909440,127.39,0.4454,0.7324,0.9424,0.7701,0.5635,0.6788
CPU/4core,rnd,749964540,66.97,0.5645,0.5242,0.9388,0.8615,0.4216,0.1930
CPU/4core,sssp,3677472760,192.18,0.4962,0.8192,0.9814,0.9516,0.4392,0.4483
CPU/4core,tc,1241241040,140.75,0.0938,0.7457,0.9154,0.7080,0.5254,0.5821
CPU/4core,xs,789195160,66.8,0.2226,0.7858,0.9315,0.8857,0.4095,0.2096
NDP/4core,bc,1505623340,261.01,0.4074,0.9936,1.0000,1.0000,0.7962,0.8774
NDP/4core,bfs,9931654200,418.79,0.5911,0.9854,1.0000,1.0000,0.7681,0.9682
NDP/4core,cc,8419268000,399.42,0.6147,0.9863,1.0000,1.0000,0.7800,0.9684
NDP/4core,dlrm,10041852860,445.85,0.5950,0.9854,1.0000,1.0000,0.7434,0.9666
NDP/4core,gc,10244386360,450.14,0.5818,0.9902,1.0000,1.0000,0.8653,0.9575
NDP/4core,gen,10697307920,429.93,0.5826,0.9905,1.0000,1.0000,0.9582,0.9603
NDP/4core,pr,7977896680,293.55,0.4792,0.9328,1.0000,1.0000,0.8977,0.9880
NDP/4core,rnd,2654038920,650.36,0.8230,1.0000,1.0000,1.0000,0.8944,0.9677
NDP/4core,sssp,5072444000,289.19,0.5329,0.9723,1.0000,1.0000,0.6850,0.8951
NDP/4core,tc,1876174300,356.24,0.1027,0.9829,1.0000,1.0000,0.7232,0.9830
NDP/4core,xs,1369593160,223.03,0.2811,0.9763,1.0000,1.0000,0.6693,0.8502
CPU-no-translation/4core,bc,685898460,N/A,0.2239,N/A,0.9966,N/A,0.5927,N/A
CPU-no-translation/4core,bfs,3865075240,N/A,0.4432,N/A,0.9917,N/A,0.4752,N/A
CPU-no-translation/4core,cc,3351691200,N/A,0.4631,N/A,0.9911,N/A,0.4834,N/A
CPU-no-translation/4core,dlrm,3864959540,N/A,0.4433,N/A,0.9917,N/A,0.4755,N/A
CPU-no-translation/4core,gc,2345317000,N/A,0.4230,N/A,0.9560,N/A,0.4401,N/A
CPU-no-translation/4core,gen,2345434780,N/A,0.4230,N/A,0.9560,N/A,0.4397,N/A
CPU-no-translation/4core,pr,2899912340,N/A,0.3730,N/A,0.9995,N/A,0.5289,N/A
CPU-no-translation/4core,rnd,579736040,N/A,0.6177,N/A,0.9994,N/A,0.7077,N/A
CPU-no-translation/4core,sssp,1917465940,N/A,0.4044,N/A,0.9945,N/A,0.4154,N/A
CPU-no-translation/4core,tc,980774340,N/A,0.0692,N/A,0.9993,N/A,0.5065,N/A
CPU-no-translation/4core,xs,558413440,N/A,0.1737,N/A,0.9454,N/A,0.4902,N/A
NDP-no-translation/4core,bc,722919340,N/A,0.3526,N/A,1.0000,N/A,0.7819,N/A
NDP-no-translation/4core,bfs,3996912140,N/A,0.4591,N/A,1.0000,N/A,0.5493,N/A
NDP-no-translation/4core,cc,3856308820,N/A,0.4759,N/A,1.0000,N/A,0.5345,N/A
NDP-no-translation/4core,dlrm,3993123680,N/A,0.4591,N/A,1.0000,N/A,0.5504,N/A
NDP-no-translation/4core,gc,3145931620,N/A,0.4308,N/A,1.0000,N/A,0.5207,N/A
NDP-no-translation/4core,gen,3147071460,N/A,0.4307,N/A,1.0000,N/A,0.5218,N/A
NDP-no-translation/4core,pr,2956364840,N/A,0.4138,N/A,1.0000,N/A,0.6000,N/A
NDP-no-translation/4core,rnd,436914400,N/A,0.7130,N/A,1.0000,N/A,0.7365,N/A
NDP-no-translation/4core,sssp,2371861440,N/A,0.4242,N/A,1.0000,N/A,0.5243,N/A
NDP-no-translation/4core,tc,1019489900,N/A,0.0702,N/A,1.0000,N/A,0.5297,N/A
NDP-no-translation/4core,xs,740442560,N/A,0.2373,N/A,1.0000,N/A,0.6279,N/A
